firstname, lastname, dob, address, phoneNumber, rewardPoints, active
0,Natalie, Cherry, 8/22/1964, "2 W University Blvd, Tucson, AZ 85705", 520-202-3285, 741, 1
0,Iwan, Rangel, 12/11/1965, "2021 N Camino De La Cienega, Tucson, AZ 85715", 520-203-0814, 0, 0
0,Brendon, Delaney, 10/9/1967, "1425 N Alamo Pl, Tucson, AZ 85712", 520-204-5021, 1759, 1
0,Mattie, Barr, 4/14/1969, "1629 E Broadway Blvd, Tucson, AZ 85719", 520-205-0761, 1595, 1
0,Evelyn, Blankenship, 9/7/1971, "11451 N Copper Creek Dr, Tucson, AZ 85737", 520-206-7319, 8876, 1
0,Susannah, Felix, 9/18/1971, "11545 E Sundance Dr, Tucson, AZ 85749", 520-209-6762, 7723, 1
0,Tyriq, Gonzalez, 11/22/1971, "11660 W Picture Rocks Rd, Tucson, AZ 85743", 520-210-9843, 1703, 1
0,Nylah, Reyes, 11/29/1973, "1209 W Hadley St #24, Tucson, AZ 85705", 520-212-6279, 4883, 1
0,Nadine, Alcock, 4/26/1975, "10963 N Pomegranate Dr, Tucson, AZ 5737", 520-218-5655, 3216, 1
0,Florrie, Mill, 3/16/1976, "1765 E Saint Jonas Pl, Tucson, AZ 85713", 520-219-4700, 3769, 1
0,Fearne, Whitney, 7/18/1984, "1776 S Palo Verde Ave #10, Tucson, AZ 85713", 520-222-8328, 2923, 1
0,Rochelle, Mcdermott, 1/24/1985, "1887 W Paseo Monserrat, Tucson, AZ 85704", 520-225-0808, 9229, 1
0,Javan, Thorpe, 9/27/1987, "1908 N Madelyn Ave, Tucson, AZ 85712", 520-228-2178, 976, 1
0,Blanche, Williamson, 10/7/1987, "1962 N Atwood Ave, Tucson, AZ 85745", 520-229-9418, 8930, 1
0,Lyra, Moss, 6/26/1988, "9105 10th St, Tucson, AZ 85710", 520-230-2519, 4860, 1
0,Gurveer, Stout, 9/30/1988, "9458 E Pale Blue Topaz Ln, 9520 E Watson Dr, Tucson, AZ 85730", 520-232-8983, 4256, 1
0,Krishan, Simmons, 7/5/1989, "9560 E Stonehaven Way, Tucson, AZ 85747", 520-234-5499, 9820, 1
0,Berat, Yu, 2/25/1992, "9715 W Calle Cibeque, Tucson, AZ 85735", 520-235-1000, 3367, 1
0,Mohamed, Bond, 4/27/1992, "9825 N Long Creek Dr, Tucson, AZ 85743", 520-237-3284, 5626, 1
0,Mirza, Stanley, 5/4/1992, "9855 N Moon Canyon Pl, Tucson, AZ 85742", 520-239-0823, 3877, 1
0,Esa, Harding, 5/25/1992, "7942 N Lime Star Dr, Tucson, AZ 85743", 520-240-0029, 7990, 1
0,Daphne, Berry, 9/23/1994, "7951 N Como Dr, Tucson, AZ 85742", 520-241-4377, 6073, 1
0,Priya, Avila, 8/28/1995, "7962 E 2nd St, Tucson, AZ 85710", 520-243-9967, 1716, 1
0,Dilan, Bloom, 5/9/1998, "8341 E Placita Prado, Tucson, AZ 85710", 520-245-8514, 1932, 1
0,Tyron, Duarte, 2/25/2001, "8601 E Old Spanish Trl #412, Tucson, AZ 85710", 520-247-9141, 3884, 1
0,Charli, Burton, 4/6/1964, "8737 E Honeybear Pl, Tucson, AZ 85749", 520-248-1414, 7367, 1
0,Kaitlyn, Simons, 3/10/1966, "6600 N Skyway Dr, Tucson, AZ 85718", 520-258-6087, 988, 0
0,Charlton, Couch, 4/29/1968, "6650 W Kay Lynn Dr, Tucson, AZ 85735", 520-259-9119, 9104, 1
0,Omer, Salazar, 4/29/1968, "6790 E Calle La Paz, Tucson, AZ 85715", 520-260-2397, 6231, 1
0,Miller, Skinner, 10/19/1972, "10457 E Sixto Molina Ln, Tucson, AZ 85747", 520-261-7746, 6455, 1
0,Abdul, Barber, 6/18/1973, "3115 N Fairview Ave, Tucson, AZ 85705", 520-262-6145, 7887, 1
0,Chyna, Horn, 1/14/1985, "1413 S Lynx Dr, Tucson, AZ 85713", 520-268-6696, 6783, 1
0,Aryaan, Quintana, 2/12/1985, "8111 E Broadway Blvd #APT 362, Tucson, AZ 85710", 520-269-7488, 3755, 1
0,Cathal, Patterson, 12/6/1986, "13830 N Como Hills Dr, Tucson, AZ 85742", 520-270-8035, 6547, 1
0,Milli, Cole, 1/6/1993, "2421 N Sonoita Pl, Tucson, AZ 85712", 520-272-0230, 5300, 1
0,Anas, Oliver, 12/19/2000, "260 S Pantano Rd #119, Tucson, AZ 85710", 520-275-3495, 3228, 1
